ID;Année_Cession;Pays;Département;Commune;Nature;Ministère_occupant;Service_occupant;Type_Procédure_ayant_mené_à_la_vente;Nature_juridique_Acquereur;Année_de_1ère_inscription;Code_INSEE_Commune;Lieu_dit;Numéro;Cardinaux_multiplicatifs;Voie;Adresse;Opérateur;Nb_Procédure;Date_de_signature_de_l_acte_de_vente;adresse_complete;geom
140990170;2017;CROATIE;;;BUREAU;Ministère de l'économie, de l'industrie et de l'emploi;DG TRESOR;;Associations;2014;;;35;;RUE;PRERADOVICEVA;;;2017-08-30;35 RUE PRERADOVICEVA;
150150010;2017;FRANCE;CANTAL;MURAT;BUREAU;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Appel d'offres;Entreprises société;2015;15138;;21;;RUE;JEAN VIGIER;;1;2017-04-03;21 RUE JEAN VIGIER;45.110642, 2.871362
150170016;2017;FRANCE;CHARENTE-MARITIME;SAUJON;ESPACE NATUREL;Ministère de l'écologie, du développement durable, des transports et du logement;DGITM/DIT;Appel d'offres;Entreprises société;2015;17421;L'ENCLOUSE A BERNARD;;;;;;1;2017-04-07;;45.670608, -0.92809
150310013;2017;FRANCE;HAUTE-GARONNE;TOULOUSE;ESPACE AMENAGE;Ministère de l'intérieur, de l'Outre-mer et des collectivités territoriales;Administration territoriale;Gré à gré;Etablissements publics nationaux;2015;31555;;2;;BOULEVARD;ARMAND DUPORTAL;;1;2017-03-08;2 BOULEVARD ARMAND DUPORTAL;43.605157, 1.436336
150330026;2017;FRANCE;GIRONDE;BRUGES;ESPACE NATUREL;Ministère de l'écologie, du développement durable, des transports et du logement;DGITM/DIT;Droit de priorité;Collectivités territoriales;2015;33075;;;;AVENUE;MARYSE BASTIÉ - 33520 BRUGES;;1;2017-09-27;AVENUE MARYSE BASTIÉ - 33520 BRUGES;44.887976, -0.614962
160750015;2017;FRANCE;PARIS;PARIS 09;BATIMENT TECHNIQUE;Ministère de la santé, de la jeunesse, des sports et de la vie associative : santé;OPERATEUR;Adjudication;Personnes physiques non commerçantes;2016;75109;;6;;RUE;DE LA ROCHEFOUCAULD;;1;2017-06-12;6 RUE DE LA ROCHEFOUCAULD;48.877364, 2.33434
160930016;2017;FRANCE;SEINE-SAINT-DENIS;VILLETANEUSE;ESPACE NATUREL;Ministère de l'enseignement supérieur et de la recherche;AUTRES;Gré à gré;Etablissements publics locaux;2016;93079;;142;;AVENUE;DE LA DIVISION LECLERC;;1;2017-01-24;142 AVENUE DE LA DIVISION LECLERC;48.953698, 2.343602
120040037;2015;FRANCE;ALPES DE HAUTE-PROVENCE;LA CONDAMINE CHATELARD;BATIMENT TECHNIQUE;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Droit de priorité;Collectivités territoriales;2012;04062;LES CHAMPETS;;;QUARTIER;LA CONDAMINE CHATELARD;;1;2015-01-20;QUARTIER LA CONDAMINE CHATELARD;44.453219, 6.739866
120060015;2015;FRANCE;ALPES-MARITIMES;ANTIBES;BUREAU;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Droit de priorité;Collectivités territoriales;2011;06004;;470;;AVENUE;JULES GREC AW 123-124-125;;1;2015-05-12;470 AVENUE JULES GREC AW 123-124-125;43.591706, 7.116452
120080001;2015;FRANCE;ARDENNES;GIVET;ESPACE AMENAGE;Ministère de la défense;AUTRES;Autres droits;Collectivités territoriales;2012;08190;FORT DE CHARLEMONT;;;;;;1;2015-06-30;;50.137755, 4.823592
120110000;2015;FRANCE;AUDE;CARCASSONNE;BUREAU;Ministère de la culture et de la communication;AUTRES;Droit de priorité;Collectivités territoriales;2011;11069;;77;;RUE;TRIVALLE;;2;2015-09-03;77 RUE TRIVALLE;43.209349, 2.364031
120170040;2015;FRANCE;CHARENTE-MARITIME;ST PIERRE D OLERON;LOGEMENT;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Adjudication;Personnes physiques non commerçantes;2012;17385;;30;;AVENUE;DES PINS;;2;2015-01-29;30 AVENUE DES PINS;45.918975, -1.335156
120300003;2015;FRANCE;GARD;BEAUCAIRE;ESPACE NATUREL;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Gré à gré;Collectivités territoriales;2011;30032;SICARD NORD;;;;;;1;2015-05-26;;43.807337, 4.642817
120340057;2015;FRANCE;HÉRAULT;MONTPELLIER;ESPACE NATUREL;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Autres droits;Collectivités territoriales;2012;34172;TERRE DE RONDELET;;;AVENUE;D'EL ALAMEIN;;1;2015-12-03;AVENUE D'EL ALAMEIN;
120520004;2015;FRANCE;HAUTE-MARNE;VALCOURT;ESPACE AMENAGE;Ministère de la défense;AUTRES;Autres droits;Collectivités territoriales;2008;52500;BRAT;;;;;;1;2015-11-04;;48.616173, 4.903531
120700006;2015;FRANCE;HAUTE-SAÔNE;LUXEUIL LES BAINS;LOGEMENT;Ministère de la défense;AUTRES;Gré à gré;Entreprises société;2007;70311;CITÉ DU STADE 1 ET 2 (6 BÂTIMENTS);;;;;;1;2015-03-19;;47.816068, 6.380313
120720035;2015;FRANCE;SARTHE;LE MANS;BUREAU;Ministère du Travail, des relations sociales, de la famille et de la solidarité;OPERATEUR;Appel d'offres;Entreprises société;2012;72181;;2;;RUE;NOTRE-DAME;Pôle emploi;2;2015-12-28;2 RUE NOTRE-DAME;48.004309, 0.209289
120760016;2015;FRANCE;SEINE-MARITIME;DIEPPE;BUREAU;Ministère de la justice et des libertés;Autres;Recours à une agence;Personnes physiques non commerçantes;2012;76217;;29;;RUE;DE LA RÉPUBLIQUE;;2;2015-11-12;29 RUE DE LA RÉPUBLIQUE;49.920008, 1.07497
120810001;2015;FRANCE;TARN;ALBI;BUREAU;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Appel d'offres;Personnes physiques non commerçantes;2012;81004;;4;;CHEMIN;DE LA TEULIÈRE;;1;2015-10-14;4 CHEMIN DE LA TEULIÈRE;43.923672, 2.182558
120860017;2015;FRANCE;VIENNE;POITIERS;BATIMENT D'ENSEIGNEMENT OU DE SPORT;Ministère de l'éducation nationale;Services déconcentrés;Droit de priorité;Collectivités territoriales;2012;86194;;;;RUE;GUILLAUME VII LE TROUBADOUR;;1;2015-12-31;RUE GUILLAUME VII LE TROUBADOUR;46.587893, 0.346116
120910007;2015;FRANCE;ESSONNE;SAVIGNY SUR ORGE;LOGEMENT;Ministère de la justice et des libertés;DPJJ;Droit de priorité;Collectivités territoriales;2012;91589;;6/18;;AVENUE;DE LONGJUMEAU;;1;2015-01-12;6/18 AVENUE DE LONGJUMEAU;48.693872, 2.350612
129710024;2015;FRANCE;GUADELOUPE;POINTE NOIRE;ESPACE NATUREL;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Droit de priorité;Etablissements publics locaux;2011;97121;REDEAU;;;;;;1;2015-12-18;;16.227183, -61.755024
129730005;2015;FRANCE;GUYANE;CAYENNE;LOGEMENT;Ministère de la culture et de la communication;AUTRES;Gré à gré;Personnes physiques non commerçantes;2011;97302;;38;;RUE;DU GR GAL FÉLIX EBOUÉ;;1;2015-06-12;38 RUE DU GR GAL FÉLIX EBOUÉ;4.938394, -52.328234
129740006;2015;FRANCE;LA REUNION;LE TAMPON;LOGEMENT;Ministère de l'agriculture et de la pêche;DRAAF;Droit de priorité;Entreprises société;2012;97422;;369;;RUE;J BERTAUT;;1;2015-11-25;369 RUE J BERTAUT;-21.273868, 55.5235
130120013;2015;FRANCE;AVEYRON;MILLAU;ESPACE NATUREL;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Gré à gré;Personnes physiques non commerçantes;2013;12145;FONTENAY;;;;;;3;2015-01-12;;44.096876, 3.077432
130130010;2015;FRANCE;BOUCHES-DU-RHÔNE;BERRE L ETANG;LOGEMENT;Ministère de l'écologie, du développement durable, des transports et du logement;DGAC;Droit de priorité;Collectivités territoriales;2013;13014;LIEU-DIT LA DERRABADE;;;;;;1;2015-11-30;;43.475029, 5.167175
130590061;2015;FRANCE;NORD;ROUBAIX;ESPACE NATUREL;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Adjudication;Entreprises société;2013;59512;QUAI DE BOULOGNE;;;;;;1;2015-06-29;;50.688881, 3.179402
130590063;2015;FRANCE;NORD;LE QUESNOY;BUREAU;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Droit de priorité;Collectivités territoriales;2013;59481;;1;;BOULEVARD;JEANNE D'ARC;;1;2015-04-08;1 BOULEVARD JEANNE D'ARC;50.247639, 3.631274
